,abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline_main,headline_kicker,headline_content_kicker,headline_print_headline,headline_name,headline_seo,headline_sub,byline_original,byline_person,byline_organization,subsection_name
0,Whether the president taps Elena Kagan for the Supreme Court could reflect a political choice between seeking bipartisan consensus or energizing his supporters on the left.,https://www.nytimes.com/2009/05/17/us/17kagan.html,Whether the president taps Elena Kagan for the Supreme Court could reflect a political choice between seeking bipartisan consensus or energizing his supporters on the left.,"WASHINGTON  When Elena Kagan went before the Senate Judiciary Committee in February as President Obama’s nominee for solicitor general, Republicans were almost as effusive as the Democrats in their praise for her. ",A,20,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/05/17/us/17kagan.500.jpg', 'height': 500, 'width': 335, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/05/17/us/17kagan.inline.jpg', 'height': 230, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/05/17/us/17kagan.75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2009/05/17/us/17kagan.75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Kagan, Elena', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'APPOINTMENTS AND EXECUTIVE CHANGES', 'rank': 5, 'major': 'N'}]",2009-05-16T23:21:08+0000,article,National,U.S.,News,nyt://article/d806492b-c970-52ec-9094-08e76cd0d6d9,1177,nyt://article/d806492b-c970-52ec-9094-08e76cd0d6d9,Potential Justice’s Appeal May Be Too Bipartisan,,,Potential Justice’s Appeal May Be Too Bipartisan,,,,By Eric Lichtblau,"[{'firstname': 'Eric', 'middlename': None, 'lastname': 'Lichtblau', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
1,A Democratic Senate prepares to consider the Supreme Court nominee of a Democratic president for the first time in 15 years.,https://www.nytimes.com/2009/05/03/us/politics/03repubs.html,A Democratic Senate prepares to consider the Supreme Court nominee of a Democratic president for the first time in 15 years.,"WASHINGTON  The tables will be turned as a Democratic Senate prepares to consider the Supreme Court nominee of a Democratic president for the first time in 15 years, reversing the control Republicans held over the last two appointments to the court.",A,27,The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/05/03/us/politics/03cong.650.jpg', 'height': 459, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/05/03/us/politics/03cong.inline.jpg', 'height': 169, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'organizations', 'value': 'Democratic Party', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'APPOINTMENTS AND EXECUTIVE CHANGES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Souter, David H', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 8, 'major': 'N'}]",2009-05-02T16:40:04+0000,article,National,U.S.,News,nyt://article/50c7037c-fd7f-5c56-885d-d93579fc532e,884,nyt://article/50c7037c-fd7f-5c56-885d-d93579fc532e,Hearings for Nominee Will Reflect a Reversal,,,Hearings for Nominee Will Reflect a Reversal,,,,By Carl Hulse,"[{'firstname': 'Carl', 'middlename': None, 'lastname': 'Hulse', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
2,Top White House aides are among the guests on this week’s news shows.,https://thecaucus.blogs.nytimes.com/2009/04/18/sundays-breakfast-menu-april-19/,Top White House aides are among the guests on this week’s news shows.,"With President Obama still south of the border, his top aides have stepped up to fill the airwaves on the Sunday morning talk shows.",,,The New York Times,[],[],2009-04-18T19:08:57+0000,article,National,U.S.,News,nyt://article/d3812fb0-affb-592f-8272-93c93f8bd51f,200,nyt://article/d3812fb0-affb-592f-8272-93c93f8bd51f,"Sunday’s Breakfast Menu, April 19",The Caucus,,,,,,By Janie Lorber,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'Lorber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
3,Top White House aides are among the guests on this week's news shows.,https://thecaucus.blogs.nytimes.com/2009/04/18/blogs/18thecaucus-sundays-15695.html,Top White House aides are among the guests on this week's news shows.,"(Photo: (Photo: Tony Cenicola/The New York Times)) With President Obama still south of the border, his top aides have stepped up to fill the airwaves on the Sunday morning talk shows.  Rahm Emanuel, the White House chief of staff, will offer his take on the administration's first 100 days on ABC's ""This Week."" Meanwhile, David Axelrod, the president's chief adviser, will appear on ""Face the Nation"" on CBS.  Larry Summers, director of the national economic council, will tackle tea and taxes on NBC's ""Meet the Press"" along with former House Majority Leader Richard Armey, former Congressman Harold Ford, Jr., now the chairman of the Democratic Leadership Council, and others.   On CNN's ""State of the Union,"" Janet Napolitano, secretary of Homeland Security, weighs in on Mr. Obama's visit with Mexican President Felipe Calderon. John King also interviews Minnesota Senator Amy Klobuchar and Nevada Republican John Ensign on the Summit of the Americas, which wraps up in Trinidad and Tobago Sunday afternoon. Also, New York Gov. David Patterson discusses gay marriage.  After a two week hiatus, Congress is back in session Tuesday with Minority Leader John Boehner setting the tone on ""This Week."" And, on ""Face the Nation"" Gov. Ed Rendell of Pennsylvania will debate Wayne LaPierre, head of the National Rifle Association. ",,,The New York Times,[],[],2009-04-18T19:08:57+0000,article,None,Blogs,Web Log,nyt://article/ab1fa9f3-693b-55b3-87a7-1d320224e3c2,211,nyt://article/ab1fa9f3-693b-55b3-87a7-1d320224e3c2,Sunday’s Breakfast Menu,The Caucus,,"Sunday&#39;s Breakfast Menu, April 19",,,,By JANIE LORBER,"[{'firstname': 'Janie', 'middlename': None, 'lastname': 'LORBER', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
4,Congress must take the necessary steps to rein in mortgage brokers that attracted obscene profits associated with the subprime lending binge.,https://www.nytimes.com/2009/04/10/opinion/10fri1.html,Congress must take the necessary steps to rein in mortgage brokers that attracted obscene profits associated with the subprime lending binge., Mortgage brokers are supposed to be impartial advocates who search out the best possible deal for prospective homeowners seeking a loan. The mortgage crisis has revealed a different truth. Too many brokers were far more interested in earning fat fees for steering their clients to ruinously priced loans that the borrowers could never hope to repay. ,A,22,The New York Times,[],"[{'name': 'subject', 'value': 'Editorials', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Frank, Barney', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Subprime Mortgage Crisis', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Prices (Fares, Fees and Rates)', 'rank': 8, 'major': 'N'}]",2009-04-10T03:12:19+0000,article,Editorial,Opinion,Editorial,nyt://article/e4908829-e13c-58a2-9a85-16c5ef668b5a,506,nyt://article/e4908829-e13c-58a2-9a85-16c5ef668b5a,Predatory Brokers,Editorial,,Predatory Brokers,,,,,[],,
5,"As the only senator to inundate with advice, to seek help from, or to complain about, Amy Klobuchar is feeling the strain.",https://www.nytimes.com/2009/04/09/us/politics/09minnesota.html,"As the only senator to inundate with advice, to seek help from, or to complain about, Amy Klobuchar is feeling the strain.","As the fight over a United States Senate seat from Minnesota seems certain to drag into a sixth month, forgotten in all the fussing is the senator left behind.",A,20,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2009/04/09/us/09minnesota5_190.JPG', 'height': 246, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'glocations', 'value': 'Minnesota', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Coleman, Norm', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Klobuchar, Amy', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Franken, Al', 'rank': 7, 'major': 'N'}]",2009-04-08T23:54:10+0000,article,National,U.S.,News,nyt://article/0db08f08-aec0-5f80-85c4-b5fcc99e0310,866,nyt://article/0db08f08-aec0-5f80-85c4-b5fcc99e0310,Sole Minnesota Senator Has Problems Built for 2,,,Sole Minnesota Senator Has Problems Built for 2,,,,By Monica Davey,"[{'firstname': 'Monica', 'middlename': None, 'lastname': 'Davey', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
6,The quirky and not-so events that keep us agog.,https://thecaucus.blogs.nytimes.com/2009/04/03/at-weeks-end-lol-and-wraps/,The quirky and not-so events that keep us agog.,"Sometimes, revisiting the week just becomes irresistible. This may be one of them, even though we’re not among the adoring fans gawking close-up at Michelle Obama’s overseas trousseau. (Of course we mean bridal wardrobe in the new First Lady sense, for you grammarians.) And yeah, those mighty arms were bare-out again today. ",,,The New York Times,[],[],2009-04-03T20:18:33+0000,article,National,U.S.,News,nyt://article/d082fd2b-c6e2-54c4-bf15-f0c96aa2d9ac,1666,nyt://article/d082fd2b-c6e2-54c4-bf15-f0c96aa2d9ac,"At Week’s End, L.O.L. and Wraps",,,,,,,By Kate Phillips,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'Phillips', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
7,"And after that, renewables advocates will seek a carbon tax.",https://green.blogs.nytimes.com/2009/02/20/next-up-a-renewable-portfolio-standard/,"And after that, renewables advocates will seek a carbon tax.","Advocates of renewable energy got the stimulus package of their dreams, packed with tax credits and grants and loan programs intended to restart their industry. Now they are turning their attention to the next item on their wish list: a national renewable portfolio standard. President Obama has called for 10 percent of the nation’s electricity to come from renewable sources by 2012, and 25 percent by 2025.",,,The New York Times,[],[],2009-02-20T20:16:25+0000,article,,Science,News,nyt://article/eed9e739-7f4d-5858-b7f9-7191afa353de,482,nyt://article/eed9e739-7f4d-5858-b7f9-7191afa353de,Next Up: A Renewable Portfolio Standard?,Green,,,,,,By Kate Galbraith,"[{'firstname': 'Kate', 'middlename': None, 'lastname': 'Galbraith', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Environment
8,"Though Al Franken may have picked up additional votes after a court ruling on Tuesday, Norm Coleman’s team found reasons for optimism.",https://thecaucus.blogs.nytimes.com/2009/02/10/whos-votes-are-they-anyway/,"Though Al Franken may have picked up additional votes after a court ruling on Tuesday, Norm Coleman’s team found reasons for optimism.","The three-judge panel at the center of the election duel in Minnesota between Al Franken and Norm Coleman ordered that about two dozen ballots, which are likely to favor Mr. Franken, be added to the final vote count.",,,The New York Times,[],[],2009-02-10T22:00:50+0000,article,National,U.S.,News,nyt://article/75026e4a-7fe8-58a6-bc3b-6a146777443b,395,nyt://article/75026e4a-7fe8-58a6-bc3b-6a146777443b,Some Rejected Minnesota Ballots to Be Counted,The Caucus,,,,,,By Michael Falcone,"[{'firstname': 'Michael', 'middlename': None, 'lastname': 'Falcone', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
9,President Obama hopes to change the shrill tone of Washington by opening his doors to the Republicans.,https://www.nytimes.com/2009/02/05/us/politics/04web-zeleny.html,President Obama hopes to change the shrill tone of Washington by opening his doors to the Republicans.,"WASHINGTON  Can the shrill tone of Washington be changed through a presidential act of contrition? Or, perhaps, an enticing platter of oatmeal raisin cookies?",,,The New York Times,[],"[{'name': 'organizations', 'value': 'Republican Party', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Obama, Barack', 'rank': 3, 'major': 'N'}]",2009-02-04T14:07:31+0000,article,Washington,U.S.,News,nyt://article/017c5a6d-7c93-50f0-b9bc-8d3693a3e1ba,1012,nyt://article/017c5a6d-7c93-50f0-b9bc-8d3693a3e1ba,"Obama Woos G.O.P. With Attention, and Cookies",On the White House,,,,,,By Jeff Zeleny,"[{'firstname': 'Jeff', 'middlename': None, 'lastname': 'Zeleny', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,Politics
